Region,Counter Strike: (2006),Fortnite: (2006),Dota 2: (2006),League of Legends: (2006),PUBG: (2006),Counter Strike: (2007),Fortnite: (2007),Dota 2: (2007),League of Legends: (2007),PUBG: (2007),Counter Strike: (2008),Fortnite: (2008),Dota 2: (2008),League of Legends: (2008),PUBG: (2008),Counter Strike: (2009),Fortnite: (2009),Dota 2: (2009),League of Legends: (2009),PUBG: (2009),Counter Strike: (2010),Fortnite: (2010),Dota 2: (2010),League of Legends: (2010),PUBG: (2010),Counter Strike: (2011),Fortnite: (2011),Dota 2: (2011),League of Legends: (2011),PUBG: (2011),Counter Strike: (2012),Fortnite: (2012),Dota 2: (2012),League of Legends: (2012),PUBG: (2012),Counter Strike: (2013),Fortnite: (2013),Dota 2: (2013),League of Legends: (2013),PUBG: (2013),Counter Strike: (2014),Fortnite: (2014),Dota 2: (2014),League of Legends: (2014),PUBG: (2014),Counter Strike: (2015),Fortnite: (2015),Dota 2: (2015),League of Legends: (2015),PUBG: (2015),Counter Strike: (2016),Fortnite: (2016),Dota 2: (2016),League of Legends: (2016),PUBG: (2016),Counter Strike: (2017),Fortnite: (2017),Dota 2: (2017),League of Legends: (2017),PUBG: (2017),Counter Strike: (2018),Fortnite: (2018),Dota 2: (2018),League of Legends: (2018),PUBG: (2018),Counter Strike: (2019),Fortnite: (2019),Dota 2: (2019),League of Legends: (2019),PUBG: (2019),Counter Strike: (2020),Fortnite: (2020),Dota 2: (2020),League of Legends: (2020),PUBG: (2020),Counter Strike: (2021),Fortnite: (2021),Dota 2: (2021),League of Legends: (2021),PUBG: (2021)
Nevada,100,0,0,0,0,97,0,3,0,0,97,0,3,0,0,74,0,0,26,0,26,0,1,73,0,10,0,8,82,0,8,0,15,77,0,4,0,19,77,0,4,1,21,75,0,6,1,21,73,0,6,1,19,75,0,2,27,9,37,25,1,88,1,4,8,1,89,1,5,5,1,87,1,8,4,1,86,2,8,4
California,100,0,1,1,0,100,0,1,1,0,99,1,1,1,0,92,1,1,7,1,55,1,1,44,0,8,1,9,83,0,7,1,19,74,0,4,1,22,74,0,4,1,23,73,0,6,1,23,71,1,5,1,23,72,0,2,21,13,40,24,1,87,1,4,8,1,88,1,6,5,1,86,1,9,4,1,84,2,9,5
Wisconsin,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,70,0,0,30,0,15,0,2,83,0,8,1,7,85,0,8,1,19,73,0,4,1,22,74,0,6,1,23,71,0,5,1,24,71,0,5,1,21,74,0,2,30,10,30,28,1,89,1,3,8,1,91,1,4,4,1,90,1,6,3,1,88,1,7,4
Oregon,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,65,0,1,34,0,13,1,1,86,0,7,1,8,85,1,7,1,17,76,0,6,1,26,68,1,7,1,26,67,0,7,1,25,68,0,9,1,23,68,0,4,24,12,31,29,1,85,1,4,10,1,87,1,6,6,1,86,1,9,4,1,84,2,9,5
Washington,100,0,0,0,0,100,0,0,0,0,99,0,1,1,0,75,0,1,24,0,17,0,2,81,1,8,1,8,84,0,6,1,19,75,0,3,1,26,71,0,4,1,27,69,0,5,1,28,67,0,5,1,31,64,0,1,21,17,32,29,1,83,2,4,11,1,84,2,7,7,1,83,2,9,6,1,81,3,9,7
Utah,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,65,0,2,33,0,10,0,4,86,0,6,0,11,83,0,6,1,20,74,0,2,1,25,73,0,3,1,27,70,0,5,1,24,71,0,5,1,26,69,0,2,25,11,36,26,1,88,1,3,8,1,88,1,6,5,1,87,1,8,4,1,85,2,10,3
Ohio,100,0,0,0,0,100,0,0,0,0,99,0,0,1,0,75,0,1,24,0,21,0,2,77,0,9,1,8,83,0,8,1,16,76,0,4,1,24,72,0,6,1,25,69,1,7,1,24,69,0,7,1,24,69,1,2,34,9,29,26,1,90,1,2,8,1,92,1,3,4,1,91,1,5,4,1,90,1,5,4
Florida,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,77,0,2,21,0,24,0,2,74,0,10,0,7,83,0,8,1,17,75,0,4,1,22,74,0,5,1,22,73,0,7,1,22,71,1,7,1,20,73,0,3,29,9,34,25,1,89,1,3,8,1,90,1,5,4,1,89,1,6,4,1,87,1,7,5
Maine,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,67,0,0,33,0,38,0,0,62,0,15,0,7,78,0,8,1,15,77,0,4,0,26,70,0,7,0,27,66,0,7,1,26,67,0,9,0,21,70,0,2,31,8,29,30,1,89,1,2,9,1,91,1,4,4,1,89,1,7,3,1,88,2,6,4
Kentucky,98,0,0,2,0,98,0,2,0,0,100,0,0,0,0,86,0,2,12,0,20,0,2,78,0,8,1,9,83,0,8,1,12,80,0,4,1,21,75,0,5,1,21,74,0,6,1,23,71,0,8,0,19,73,1,2,36,7,26,29,1,89,1,2,9,1,92,1,3,5,1,91,1,5,4,1,91,1,5,3
New Jersey,100,0,1,0,0,100,0,1,0,0,98,0,2,1,0,84,0,1,16,0,24,0,3,73,0,9,0,9,82,0,8,1,19,73,0,4,1,25,71,0,5,1,24,71,1,8,1,26,66,0,7,1,24,69,0,3,27,12,34,24,1,91,1,2,6,1,90,1,4,5,1,88,1,7,4,1,86,2,6,6
Connecticut,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,85,0,0,15,0,29,0,1,70,0,9,1,9,82,0,13,1,18,69,0,5,0,25,70,0,5,1,30,65,0,6,1,29,65,0,6,1,27,67,0,1,32,11,31,25,1,91,1,2,6,1,91,1,4,4,1,90,1,6,3,1,88,2,7,3
Kansas,100,0,0,0,0,100,0,0,0,0,96,0,0,0,4,78,0,0,22,0,25,0,1,74,0,10,1,7,83,0,6,1,19,75,0,3,1,21,76,0,6,1,22,72,0,11,1,29,60,0,7,1,22,71,0,3,26,10,34,27,1,89,1,2,8,1,90,1,5,4,1,89,1,6,4,1,87,1,8,4
Arkansas,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,75,0,0,25,0,18,0,0,82,0,11,0,5,84,0,5,0,14,81,0,3,1,22,75,0,2,0,29,69,0,5,1,24,71,0,5,1,21,73,0,1,32,6,33,28,1,89,1,2,9,1,91,1,4,5,1,90,1,5,5,1,88,1,6,5
Oklahoma,100,0,0,0,0,94,0,6,0,0,100,0,0,0,0,71,0,0,29,0,17,1,2,80,0,11,1,10,79,0,8,1,18,74,0,5,0,22,73,0,4,1,23,73,0,7,1,22,71,0,8,1,24,68,0,1,31,10,30,28,1,88,1,3,9,1,91,1,3,6,1,90,1,6,4,1,89,1,6,4
Illinois,100,0,0,0,0,99,0,1,1,0,97,0,3,1,0,81,0,1,19,0,26,1,3,71,0,11,1,9,80,0,10,1,19,71,1,4,1,24,72,0,6,1,27,67,0,7,1,27,66,1,6,1,26,68,0,2,31,12,30,25,1,90,1,2,7,1,91,1,4,4,1,90,1,5,4,1,89,1,6,4
Michigan,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,79,0,0,21,0,25,0,1,74,0,8,0,7,85,0,8,1,17,75,0,4,1,24,72,0,5,1,25,70,0,6,1,25,69,0,8,1,23,69,1,2,31,10,31,26,1,89,1,2,9,1,90,1,4,5,1,90,1,6,3,1,89,1,7,3
Hawaii,100,0,0,0,0,100,0,0,0,0,91,0,4,5,0,65,0,15,20,0,32,0,2,66,0,8,0,6,86,0,4,0,15,81,0,2,0,17,81,0,4,0,18,78,0,5,1,15,80,0,4,1,19,77,0,1,23,8,43,25,1,87,1,4,8,1,85,1,7,7,1,82,1,11,6,1,76,3,13,8
New York,100,0,0,0,0,100,0,1,0,0,100,0,1,0,0,77,0,1,22,0,26,0,1,73,0,12,1,9,79,0,8,1,20,72,0,5,1,24,71,0,5,1,26,69,1,8,1,24,68,1,7,1,25,68,0,3,23,14,36,24,1,89,1,3,7,1,89,1,5,5,1,87,1,7,5,1,84,2,7,7
Pennsylvania,100,0,0,0,0,100,0,0,0,0,100,0,1,0,0,75,0,2,23,0,21,0,2,77,0,9,1,8,83,0,8,1,20,72,0,4,1,26,70,0,5,1,28,67,0,7,1,27,66,1,6,1,28,66,0,2,33,10,30,25,1,90,1,2,8,1,91,1,4,4,1,91,1,5,3,1,90,1,6,3
New Hampshire,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,82,0,0,18,0,24,0,3,73,0,10,1,5,84,0,10,1,18,72,0,2,0,25,73,0,6,1,34,60,0,6,1,32,62,0,7,0,27,66,0,1,29,13,27,30,1,89,1,2,8,1,91,1,4,4,1,90,1,6,3,1,90,1,6,3
Alaska,100,0,0,0,0,100,0,0,0,0,92,0,8,0,0,73,0,0,27,0,21,0,7,72,0,5,1,14,81,0,12,0,29,59,0,2,0,26,72,0,5,1,29,66,0,6,0,29,65,0,6,0,20,74,0,1,23,10,32,34,1,81,1,3,15,1,79,2,7,12,1,81,1,7,11,1,80,2,7,11
Tennessee,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,64,0,2,32,2,18,0,3,79,0,11,1,7,82,0,9,1,17,74,0,4,0,22,74,0,4,1,23,73,0,7,1,22,71,0,7,1,25,68,0,2,32,9,30,27,1,89,1,2,9,1,91,1,4,5,1,91,1,5,4,1,90,1,5,4
Vermont,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,10,0,0,90,0,12,0,5,83,0,8,0,20,72,0,5,0,31,64,0,5,0,30,65,0,3,0,37,60,0,8,1,35,57,0,3,25,18,27,27,1,87,1,2,10,1,90,2,4,4,1,89,2,6,3,1,90,1,4,5
Texas,100,0,0,0,0,100,0,0,1,0,99,0,1,1,0,76,0,1,24,1,23,0,2,75,0,10,1,7,83,0,8,1,17,75,0,4,1,23,73,0,5,1,23,72,1,6,1,23,71,0,6,1,22,72,0,3,28,10,34,25,1,89,1,3,8,1,90,1,4,5,1,89,1,6,4,1,88,1,6,5
Arizona,99,0,1,0,0,100,0,0,0,0,99,0,1,0,0,79,0,1,20,0,17,0,2,81,0,8,0,8,84,0,7,1,17,76,0,4,1,23,73,0,4,1,24,72,0,6,1,23,71,0,6,1,23,71,0,2,30,8,35,25,1,89,1,2,8,1,89,1,5,5,1,89,1,6,4,1,87,1,8,4
Massachusetts,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,80,0,0,20,0,27,0,1,72,0,10,1,9,81,0,9,1,21,70,0,4,1,25,71,0,6,1,29,65,0,6,1,29,65,0,4,1,28,68,0,2,24,15,33,26,1,89,1,3,7,1,88,2,6,4,1,87,1,8,4,1,86,2,9,3
West Virginia,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,72,0,0,28,0,17,0,5,78,0,10,0,10,80,0,6,0,24,70,0,4,1,25,71,0,6,1,25,69,0,9,0,20,71,0,7,0,22,71,0,1,33,7,29,30,1,89,1,2,9,1,92,1,3,5,1,91,1,4,4,1,92,1,4,3
Minnesota,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,66,0,0,34,0,15,0,1,84,0,7,1,8,85,0,7,1,17,76,0,2,1,23,75,0,3,1,25,72,0,5,1,25,70,1,5,1,22,73,0,2,28,10,35,25,1,89,1,3,7,1,90,1,5,4,1,88,1,7,4,1,87,2,8,3
Indiana,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,75,0,5,20,0,16,0,1,83,0,8,0,8,84,0,7,0,18,75,0,4,1,22,74,0,4,1,26,70,0,7,1,26,67,0,5,1,21,74,0,2,35,8,28,27,1,89,1,2,8,1,91,1,4,4,1,91,1,5,3,1,90,1,5,4
Colorado,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,78,0,0,22,0,17,0,3,80,0,8,0,8,84,0,7,1,17,76,0,5,1,24,71,0,4,1,25,71,1,6,1,25,69,0,7,1,27,66,0,2,26,11,33,28,1,88,1,2,9,1,89,1,5,5,1,88,1,7,4,1,85,2,7,6
Nebraska,100,0,0,0,0,100,0,0,0,0,92,0,8,0,0,54,0,0,39,7,25,0,4,71,0,6,0,10,84,0,5,1,18,77,0,3,1,23,74,0,5,1,32,63,0,7,1,26,67,0,5,0,23,72,0,2,35,10,27,26,1,91,1,2,7,1,92,1,3,4,1,90,1,6,3,1,90,2,5,3
Louisiana,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,83,0,0,17,0,21,0,3,76,0,10,0,7,83,1,8,1,16,76,0,3,0,21,76,0,4,0,22,74,0,5,1,17,78,0,6,1,17,77,0,3,29,8,36,24,1,90,1,2,8,1,91,1,4,5,1,91,1,5,3,1,90,1,6,3
Maryland,100,0,0,0,0,96,0,4,0,0,100,0,0,0,0,80,0,2,18,0,24,0,1,75,0,8,1,9,83,0,8,1,20,72,0,3,1,26,71,0,5,1,27,68,0,6,1,28,66,0,6,1,25,69,0,2,27,12,32,27,1,89,1,3,7,1,89,1,5,5,1,88,1,7,4,1,88,1,8,3
Delaware,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,11,0,0,89,0,7,0,8,85,0,7,0,20,73,0,3,0,28,69,0,4,0,23,73,0,4,0,32,64,0,5,1,31,64,0,1,29,12,32,26,1,90,1,3,7,1,92,1,3,4,1,91,1,5,3,1,91,1,5,3
South Carolina,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,89,0,0,11,0,27,0,0,73,0,11,1,8,81,0,7,1,16,77,0,5,1,24,71,0,5,1,23,72,0,7,1,23,70,0,6,1,20,74,0,3,36,7,28,26,1,91,1,2,7,1,93,1,3,4,1,91,1,5,3,1,91,1,5,3
District of Columbia,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,77,0,0,23,0,20,0,3,77,0,10,0,9,81,0,10,1,21,68,0,2,0,31,67,0,6,0,27,67,0,5,1,34,61,1,4,0,37,59,0,3,23,18,32,24,1,84,3,4,9,1,82,3,7,8,1,86,2,7,5,0,82,6,9,3
Montana,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,67,0,0,33,0,15,0,15,70,0,7,0,3,90,0,6,0,11,83,0,6,0,20,74,0,3,0,24,73,0,7,0,30,63,0,6,1,25,69,0,1,33,9,26,31,1,87,1,2,11,1,87,2,4,7,1,86,1,8,6,1,86,1,7,6
Missouri,100,0,0,0,0,99,0,1,0,0,100,0,0,0,0,75,0,1,24,0,20,0,1,79,0,8,1,6,86,0,7,1,20,73,0,4,1,20,76,0,6,1,22,72,1,6,1,25,69,0,5,1,24,71,0,2,30,9,31,28,1,88,1,3,9,1,91,1,4,5,1,90,1,6,3,1,89,1,6,4
Virginia,100,0,0,0,0,100,0,0,0,0,100,0,1,1,0,97,0,1,3,0,73,0,1,26,0,8,1,9,83,0,8,1,18,74,0,3,1,26,71,0,8,1,27,65,0,9,1,29,62,0,6,1,25,69,0,4,26,12,32,26,1,88,1,3,8,1,89,1,5,5,1,86,1,8,5,1,85,2,7,6
North Dakota,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,88,0,0,12,0,8,0,0,92,0,4,0,6,90,0,6,1,23,71,0,6,1,23,71,0,3,0,27,70,0,7,0,23,70,0,6,0,21,73,0,1,31,8,26,34,1,88,1,2,9,1,89,1,5,5,1,88,1,7,5,1,85,2,10,3
Alabama,100,0,0,0,0,97,0,3,0,0,100,0,0,0,0,71,0,0,29,0,25,0,0,75,0,13,1,6,81,0,10,1,17,73,0,4,0,21,75,0,4,1,24,72,0,7,1,25,68,0,8,1,20,72,0,2,34,10,27,27,1,90,1,2,8,1,92,1,3,5,1,91,1,5,3,1,90,1,5,4
Georgia,100,0,0,0,0,98,0,2,0,0,97,1,2,0,0,80,0,2,18,0,27,0,3,70,0,9,0,7,84,0,6,1,17,77,0,4,1,21,75,0,5,1,21,74,0,7,1,21,72,0,7,1,20,73,1,2,30,10,33,25,1,90,1,3,7,1,91,1,4,5,1,90,1,5,4,1,88,1,6,5
North Carolina,100,0,0,0,0,99,0,1,0,0,100,0,0,0,0,76,0,0,24,0,20,0,1,79,0,11,1,7,82,0,9,1,17,74,0,4,1,25,71,0,6,1,25,69,0,7,1,24,69,0,7,1,23,70,0,2,32,9,30,27,1,90,1,2,8,1,92,1,3,5,1,90,1,5,4,1,90,1,5,4
Mississippi,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,85,0,0,15,0,17,0,1,82,0,10,0,8,82,0,8,1,15,77,0,2,0,24,74,0,7,1,21,72,0,8,1,21,70,0,5,0,20,75,0,2,30,9,33,26,1,90,1,2,8,1,93,1,3,4,1,91,1,5,4,1,92,1,4,4
Rhode Island,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,86,0,0,14,0,16,0,2,82,0,7,0,8,85,0,6,0,24,70,0,3,0,21,76,0,5,0,27,68,0,5,1,28,67,0,5,0,21,74,0,2,35,8,31,24,1,92,1,2,6,1,92,1,3,4,1,89,1,6,4,1,89,2,7,2
New Mexico,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,67,0,0,33,0,11,0,3,86,0,8,0,12,80,0,10,0,12,78,0,5,0,21,74,0,3,1,25,72,0,6,0,23,71,0,6,0,29,65,0,1,27,14,32,26,1,89,1,2,9,1,91,1,3,5,1,91,1,4,4,1,91,1,4,4
Iowa,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,50,0,0,50,0,8,0,4,88,0,8,0,9,83,0,5,1,24,71,0,5,1,24,71,0,4,1,26,70,0,8,1,25,67,0,5,1,21,74,0,2,35,9,29,25,1,90,1,3,7,1,91,1,4,4,1,90,1,5,4,1,89,1,6,4
Idaho,86,0,14,0,0,100,0,0,0,0,100,0,0,0,0,73,0,0,27,0,16,0,7,77,0,11,0,9,80,0,5,0,15,80,0,5,1,21,74,0,3,1,22,75,0,5,1,23,72,0,6,0,22,72,0,3,25,9,33,30,1,86,1,3,10,1,88,1,6,5,1,88,1,7,4,1,87,1,8,4
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,97,0,0,0,8,92,0,0,0,19,81,0,0,0,20,80,0,0,0,26,74,0,0,1,24,76,0,0,0,23,77,0,0,37,6,33,24,0,89,1,3,8,0,92,1,3,4,0,89,1,5,5,0,88,2,5,5
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,94,0,0,0,8,92,0,0,0,23,77,0,0,0,28,72,0,0,0,21,79,0,0,0,29,71,0,0,1,21,78,0,0,31,10,33,26,0,86,1,3,11,0,91,1,3,6,0,89,1,5,5,0,90,2,6,2
